left_shoulder_X,left_shoulder_Y,right_shoulder_X,right_shoulder_Y,left_elbow_X,left_elbow_Y,right_elbow_X,right_elbow_Y,left_wrist_X,left_wrist_Y,right_wrist_X,right_wrist_Y,targetPose
0.9273459911346436,0.5175893232226372,0.5066685676574707,0.5259430296719074,0.9788714647293091,0.4944389760494232,0.3973887264728546,0.48007453978061676,0.9177915453910828,0.6249463483691216,0.4431826174259186,0.6096778400242329,correctDown
0.9173984334995021,0.5057546201433275,0.4889933181327828,0.5257864410029135,0.9844054878757192,0.48652501106828544,0.38206984482261014,0.46840822046041913,0.9102370628899904,0.6080785359271164,0.43347943225025004,0.6013968797132314,correctDown
0.9088019592086986,0.4965445029515604,0.46656776158107005,0.5066328042447307,0.984672931073992,0.47882967300123064,0.3738794378616708,0.46476830374737943,0.903453089406437,0.606500932299808,0.4228248385056194,0.5893296860733706,correctDown
0.8975953278057145,0.49200700096039346,0.4643441514399041,0.5037981219082567,0.9815082847200086,0.4707959005250356,0.36762392399409793,0.458155031176308,0.899358504701026,0.5986655354154821,0.4155152953206357,0.5816444829355742,correctDown
0.8902807553169205,0.48546282967868465,0.45765344125195045,0.5016688123344486,0.9812390585499281,0.4664573128931382,0.36626305071019316,0.44976498490633093,0.8911385726552479,0.591613788933584,0.41469749119783,0.5814276957054136,correctDown
0.8798078477779386,0.48127100836982867,0.4563948287714959,0.49274505178263306,0.9769415477907366,0.4612333281984009,0.36049166613270445,0.4444892278094462,0.8827284800858077,0.5858670422938292,0.41117896455155434,0.579398716678825,correctDown
0.852702662239443,0.4654914550449267,0.44959600959892104,0.48676935003232485,0.9752400123722211,0.459161749640257,0.3437805653171969,0.44540679998027893,0.8817011689596128,0.5790793163224359,0.40118075237460393,0.5732639386517118,correctDown
0.8385659479326972,0.45377668387013215,0.4411615258479183,0.4733900878060754,0.9646045602514829,0.44808239492743074,0.33519458605581887,0.4411559290907263,0.8781746336411228,0.5717837828609498,0.3943450686647145,0.5652389120392921,correctDown
0.8372142278949349,0.4505162522493017,0.4424694683301788,0.4637541584395882,0.9564603674754223,0.4439566678225386,0.3346081893125395,0.4315409806745284,0.8714052507663604,0.5627220250560871,0.38792942936679775,0.5552933354078163,correctDown
0.8397821203100905,0.43962074224458797,0.4295594017043138,0.4629467189243036,0.9524658901973576,0.4316225097189096,0.3322695023807588,0.42223857264347886,0.8722377721777682,0.5484095969778666,0.38902712073914547,0.5481592957219497,correctDown
0.8624864440847757,0.43543447778403727,0.41901480524855833,0.45384546211943855,0.9429675671315982,0.41589984969346994,0.3290909910382102,0.41139876010834386,0.8584997614946541,0.542228734225009,0.380633217038657,0.5419649673930272,correctDown
0.8627417559638055,0.42910727018093997,0.4216654329592586,0.4422483370804418,0.9417493593278548,0.4090508310306495,0.32547360611799947,0.40089936020608663,0.8546960873086222,0.5337179709724923,0.37786376437838537,0.5340973508833741,correctDown
0.8466031613284644,0.41447443286817515,0.3899676461259679,0.4292069315956758,0.9328854902708161,0.39708932862305374,0.3160661032392535,0.396333058159976,0.8477507710663018,0.5227424321785066,0.37308764046128073,0.5240598345040914,correctDown
0.8386416323747223,0.4089447084472586,0.39549018047124146,0.4258502589181531,0.9289291546022654,0.392559146419172,0.3140557299265346,0.3861120203852682,0.8413897168683775,0.5210134244786955,0.3655912566762749,0.5171391922455226,correctDown
0.8414904220219857,0.4085990853259366,0.3966398589933874,0.42506467323759783,0.9288727416220337,0.39051135210223975,0.3144754405142209,0.3817801106316029,0.8405440546091023,0.5147830620789812,0.36438125516003267,0.5095176114309117,correctDown
0.8224923735090949,0.3948888697918609,0.38323453163169846,0.4103843591620498,0.9310945114960885,0.38769209497494217,0.31187859751829033,0.38211837081579153,0.8470276635793295,0.5090825949425637,0.35964482666422476,0.5091602722546139,correctDown
0.8158461552250333,0.39391200079441485,0.3820123845042167,0.4032332198182365,0.9320472507301247,0.3879617723643202,0.30587329183920886,0.382747483378004,0.8494941157286559,0.5073308384682006,0.354225400916463,0.49931252435971984,correctDown
0.8185341852790969,0.38920053342305794,0.37720329953555115,0.399333024922255,0.9343057513942973,0.38997609162774627,0.306703683866523,0.38353939680106053,0.8472495333040025,0.5061851914591223,0.3557427425411607,0.5010440229967,correctDown
0.7984672063406971,0.3909743303111999,0.371575475025098,0.40362218847807896,0.9185220280801565,0.3892142439284426,0.28848505815744463,0.3891050531745397,0.8311988657805276,0.5086549915115336,0.343578513689748,0.5055007816936395,correctDown
0.793500029233723,0.4028873055326755,0.3540876145833265,0.41517125037225455,0.9102021941013254,0.3967303995606644,0.28539413524744917,0.389478822644563,0.8207362409695019,0.5140486562502984,0.34376538439863785,0.5145343900997055,correctDown
0.778161644854534,0.40697458864625063,0.3324764970576338,0.4195046209184178,0.9009497621505403,0.40310274070127916,0.2801772570869576,0.39530094334977306,0.8074096893731865,0.5232343713833342,0.3349514814932471,0.519592637185233,correctDown
0.7692083727535944,0.4162596432134834,0.33030842637438634,0.423231026505065,0.8959405416308189,0.4114739821044707,0.26272607440276685,0.40035171476471676,0.8030726351523594,0.5302583056758147,0.3324719010721336,0.5214964503997339,correctDown
0.759751575716139,0.42607942158041057,0.32601469831892094,0.43634630556232545,0.8804048035336223,0.41272638834055203,0.26570418461713113,0.404855386361506,0.7890608663691487,0.5394491529854705,0.32648940033053736,0.5284897253978799,correctDown
0.7542267651514222,0.43590948268063157,0.3230612871058663,0.4420233853316081,0.883191660586803,0.4217253779176867,0.2607745882704066,0.4108635472185725,0.7895558446046795,0.5458806471397386,0.31628997594660613,0.5346636251202622,correctDown
